Daniel Viger,Male,22,"5'11""",191 lb,2:35,--,1:35,--,--,0:59,20:24,300,250,510,425,60
Joseph Vachon,Male,27,"5'9""",180 lb,2:33,--,--,--,444,--,22:15,315,255,475,405,55
Kyle Cant,Male,27,"5'8""",185 lb,--,--,--,--,--,--,--,--,--,--,--,--
Maxime Roy De Sylva,Male,23,"5'7""",165 lb,--,--,--,--,--,--,--,--,--,--,--,--
daniel latour,Male,28,"5'6""",195 lb,2:31,--,--,--,--,51:00:00,--,375,290,585,475,50
Steve Briscoe,Male,29,"5'9""",192 lb,--,--,--,--,--,--,0:00,--,--,--,--,--
Jonathan Cayer,Male,27,188 cm,220 lb,--,--,--,--,--,--,0:00,--,255,550,450,60
Simon Paquette,Male,27,"5'11""",198 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Andrick Fournier,Male,22,"5'10""",190 lb,2:42,--,--,--,--,--,--,315,261,487,365,--
Olivier Donais,Male,28,"5'9""",191 lb,2:18,--,--,19:53,427,--,--,285,220,505,425,60
Daniel Bosco,Male,29,"5'8""",195 lb,2:21,7:55,1:54,14:53,492,0:00,22:00,320,230,515,430,--
Sean Fox,Male,27,"5'8""",176 lb,2:17,--,1:42,--,425,0:51,19:22,305,255,455,395,80
Joe Rogan,Male,30,"5'11""",206 lb,2:16,7:09,1:39,20:09,457,1:00,21:45,352,290,480,435,48
Reza Mashkoori,Male,31,170 cm,179 lb,2:50,0:00,0:00,0:00,--,0:59,19:12,300,225,465,405,--
Björgvin Karl Guðmundsson,Male,24,178 cm,185 lb,2:23,0:00,2:00,0:00,--,0:00,19:20,335,286,520,445,65
Lukas Esslinger,Male,23,181 cm,200 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
Jonne Koski,Male,21,173 cm,185 lb,--,--,--,--,--,--,--,--,--,--,--,--
Adrian Mundwiler,Male,24,172 cm,83 kg,--,--,--,--,--,--,--,--,--,--,--,--
Lukas Högberg,Male,25,183 cm,207 lb,0:00,0:00,0:00,0:00,--,0:00,0:00,143,115,220,183,--
Stefano Migliorini,Male,27,173 cm,185 lb,2:09,7:00,1:38,0:00,402,1:11,20:00,148,115,235,235,72
Frederik Aegidius,Male,29,174 cm,190 lb,2:27,8:00,1:40,17:50,464,1:07,22:20,155,120,230,210,50
Jason Smith,Male,32,185 cm,195 lb,2:29,--,1:20,21:33,436,1:05,19:30,345,295,550,450,45
Andrey Ganin,Male,33,185 cm,101 kg,2:13,--,--,--,--,--,18:55,130,102,230,180,63
Ruan Duvenage,Male,27,175 cm,92 kg,2:13,6:59,1:22,--,440,1:00,--,165,130,240,220,60
Viktor Långsved,Male,24,183 cm,89 kg,0:00,0:00,--,--,--,--,--,--,--,--,--,--
Marcin Szybaj,Male,25,178 cm,85 kg,2:42,--,--,--,--,--,--,135,105,200,190,60
Casper Gammelmark,Male,25,187 cm,189 lb,--,--,--,--,--,--,--,--,--,--,--,--
